"","Country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","Latest Year","CO2.emissions..latest.year","X..change.since.1990","CO2.emissions..per.capita...latest.year"
"37","Colombia",49706.5,NA,NA,NA,60917.3,NA,NA,NA,NA,NA,63813.83,NA,NA,NA,63907.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,63907.28,28.57,1.52
"38","Comoros",NA,NA,NA,NA,70.52,NA,NA,NA,NA,NA,82.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,82.42,NA,0.15
"39","Republic of Congo",NA,NA,NA,NA,673.7,NA,NA,NA,NA,NA,1292.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1292.15,NA,0.41
"40","Cook Islands",NA,NA,NA,NA,32.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,32.56,NA,1.71
"41","Costa Rica",2749.3,NA,NA,NA,NA,NA,4554.7,NA,NA,NA,5104.67,NA,NA,NA,NA,5989.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,5989.1,117.84,1.4
"42","Ivory Coast",NA,NA,NA,NA,4345.77,NA,NA,NA,NA,NA,60372.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,60372.31,NA,3.67
"43","Croatia",23329.25,17182.3,16506.08,16959.78,16214.22,16926.34,17515.27,18575.88,19278.9,20115.46,19694.45,20806.74,21912.74,23268.21,22916.83,23330.1,23529.45,24843.81,23628.58,21837.8,21050.86,20682.44,19114.78,18454.62,17704.99,17840.75,18105.04,18737.69,17718.65,2018,17718.65,-24.05,4.26
"44","Cuba",33899.58,NA,21598.81,NA,22193.47,NA,26382.13,NA,27973.77,NA,26586.22,NA,24892.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,24892.95,-26.57,2.22
"45","Cyprus",4656.89,5146.61,5522.91,5766.97,6011.11,5882.27,6233.23,6321.03,6614.65,6882.47,7145.88,7021.41,7210.78,7605.55,7840.94,8031.3,8223.17,8538.92,8707.25,8453.8,8089.01,7759.47,7234.89,6554.36,6934.59,6960.13,7368.23,7515.69,7332.76,2018,7332.76,57.46,6.17
"46","Czech Republic",164204.21,148894.13,144619.02,138637.29,132376.14,131608.26,134962.55,130733.07,125317.67,116623.43,127066.45,126957.56,123895.62,127382.8,128113.81,125671.94,126449.45,128264.33,122941.37,115193.74,117500.71,115060.26,110955.16,106427.46,104049.88,104815.38,106629.02,105641.73,104411.21,2018,104411.21,-36.41,9.79
"47","North Korea",178713,NA,NA,NA,133349,NA,NA,NA,NA,NA,68740,NA,73779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,73779,-58.72,3.16
"48","Democratic Republic of the Congo",NA,NA,NA,NA,1447.71,NA,NA,NA,NA,2488,2644.2,2793,2651,2645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,2645,NA,0.05
"49","Denmark",54845.67,65428.35,59595.59,61682.6,65699.57,62655.77,75987.01,66603.08,62395.89,59842.62,55609.69,57322.68,56895.54,62055.93,56499.81,52932,60858.69,56102.04,52640.37,50184.69,50678.31,45652.28,41218.24,43079.33,38866.73,36493.99,38301.02,36213.25,36246.2,2018,36246.2,-33.91,6.3
"50","Djibouti",NA,NA,NA,NA,274.15,NA,NA,NA,NA,NA,342.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,342.02,NA,0.48
"51","Dominica",NA,NA,NA,NA,76.53,NA,NA,NA,NA,NA,105.8,117.92,113.27,111.08,110.89,119.06,122,128.46,122.45,133.78,141.55,149.81,158.9,161.03,167.24,170.15,169.84,156.85,NA,2017,156.85,NA,2.19
"52","Dominican Republic",8762.93,NA,NA,NA,15003.05,NA,NA,NA,16423.85,NA,18416.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,12572.41,NA,NA,NA,NA,NA,NA,NA,NA,2010,12572.41,43.47,1.3
"53","Ecuador",14252.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37473.91,NA,41084.46,NA,NA,NA,NA,NA,NA,2012,41084.46,188.25,2.66
"54","Egypt",84235,NA,NA,NA,NA,NA,NA,NA,NA,NA,128227.95,NA,NA,NA,NA,169249.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,169249.7,100.93,2.24
"55","El Salvador",NA,NA,NA,NA,4514.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6062.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,6062.27,NA,1
"56","Eritrea",NA,NA,NA,NA,719.79,752.02,827.84,732.25,576.1,615.25,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,621,NA,0.27
"57","Estonia",36907.24,33901.77,24370.46,18910.36,19734.05,18048.83,18759.52,18317.28,16817.25,15653.35,15244.19,15576.73,15090.49,16937.23,17201.01,16921.62,16208.81,19838.56,17668.12,14339.01,18784.96,18855.12,17684.98,19551.95,18755.95,15813.4,17377.65,18635.87,17710.95,2018,17710.95,-52.01,13.39
"58","Eswatini",NA,NA,NA,NA,873.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,873.87,NA,0.96
"59","Ethiopia",2307,1879,2073,2401,2359.14,2238.27,2457.35,2895.98,2995.43,3164.82,3437.9,4250.98,4464.75,5027.51,5289.29,6589.51,6352.01,9066.91,8339.15,9004.12,11134.35,9522.03,9655.41,10143.08,NA,NA,NA,NA,NA,2013,10143.08,339.67,0.11
"60","Fiji",NA,NA,NA,NA,821,NA,NA,NA,NA,NA,NA,NA,NA,NA,1566.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1566.57,NA,1.92
"61","Finland",56971.87,55230.4,54285.53,56352.55,61716.2,58145.44,64062.41,62722.99,59373.26,58894.77,57038.25,62536.21,65059.79,72657.82,68960.75,57042.9,68384.42,66760.3,58609.62,55924.37,64099.45,56665.65,51222.15,51750.96,47643.86,44113.71,47227.55,44673.06,45849.35,2018,45849.35,-19.52,8.3
"62","France",403307.24,428927.11,418231.02,397655.36,393368.86,400239.12,415941.02,408989.96,428344.36,424600.51,419232.28,424005.85,419347.5,426145.7,427117.58,430528.28,419737.02,409033.41,401422.87,385421.58,393717.82,367051.08,368311.77,370548.99,339492.92,344096.98,347095.62,352178.98,338327.1,2018,338327.1,-16.11,5.21
"63","Gabon",NA,NA,NA,NA,4407.74,NA,NA,NA,NA,NA,5157.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,5157.27,NA,4.2
"64","Gambia",NA,NA,NA,181.06,NA,NA,NA,NA,NA,NA,218.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,218.77,NA,0.17
"65","Georgia",35520,28131.8,17119.4,9775.3,6525.8,4560.4,7491.1,8480,NA,NA,3705.2,3875,3681,3931,4844,5045,6233,7160,7062,6562,6634.73,9151.01,9786.39,9478.16,NA,NA,NA,NA,NA,2013,9478.16,-73.32,2.34
"66","Germany",1052348.54,1014199.72,965889.81,956233.11,939630.28,939176.7,959124.13,931230.07,923275.91,895642.93,899780.2,916366.14,899821.05,900866.41,886965.97,866388.55,877997.39,851383.3,854706.33,790195.72,832669.74,809426.95,813893.12,831316.28,792684.87,795816.36,800510.29,786654.55,755362.34,2018,755362.34,-28.22,9.09
"67","Ghana",2861.8,2377.12,2897.7,3123.85,3243.03,3556.74,3844.07,3977.84,4364.21,4925.45,6297.67,5585.01,5965.42,6410.85,5789.37,6431.14,7847.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,7847.2,174.21,0.35
"68","Greece",83425.55,83401.12,84982.71,84296.37,86442.18,86979.1,89132.01,93820.93,98641.5,97958.38,102999.03,105385.7,105020.96,109089.75,109546.75,113930.97,112472.44,114592.34,111125.24,104354.75,97361.5,94549.58,91430.1,81735.05,78659.8,74957.9,71368.36,74852.85,71797.87,2018,71797.87,-13.94,6.82
"69","Grenada",NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,135,NA,1.36
"70","Guatemala",4245.07,NA,NA,NA,10116.47,NA,NA,NA,NA,NA,10578.65,NA,NA,NA,NA,12553.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,12553.74,195.73,0.96
"71","Guinea",NA,NA,NA,NA,1580.49,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1960,NA,0.24
"72","Guinea-Bissau",NA,NA,NA,NA,178.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.81,NA,NA,NA,2450.67,NA,NA,NA,NA,NA,NA,NA,NA,2010,2450.67,NA,1.61
"73","Guyana",1439,1439,1439,1439,1439,1465,1534,1680,1769,1718,1688,2094,1657,1657,1657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1657,15.15,2.22
"74","Haiti",NA,NA,NA,NA,189.1,923.69,1050.91,1310.79,1347.44,1545.77,1447.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1447.66,NA,0.17
"75","Honduras",NA,NA,NA,NA,NA,4085.25,NA,NA,NA,NA,4162.45,NA,NA,NA,NA,7201.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,9902.61,NA,NA,NA,2015,9902.61,NA,1.09
"76","Hungary",73464.85,69784.52,62415.94,63632.76,61973.51,61690.77,63257.52,61813.14,61415,61911.6,58608.27,60238.8,59197,61981.47,60489.92,60606.53,59915.38,58688.63,57530.82,51774.97,52123.68,50322.15,46776.68,43704.81,43862.71,46627.61,47395.71,49684.85,49628.49,2018,49628.49,-32.45,5.11
"77","Iceland",2247.8,2128.41,2274.27,2432.16,2373.3,2476.7,2532.04,2627.51,2647.86,2853.95,2946.47,2875.24,3000.52,2994.55,3116.89,2985.97,3164.4,3512.1,3824.94,3740.18,3660.12,3510.64,3502.89,3492.77,3469.68,3545.26,3497.54,3614.87,3674.53,2018,3674.53,63.47,10.91
"78","India",NA,NA,NA,NA,779348,NA,NA,NA,NA,NA,1024772.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1574362.16,NA,NA,NA,NA,NA,NA,NA,NA,2010,1574362.16,NA,1.28
"79","Indonesia",142688.19,155100.4,165505.55,175681.85,189146.31,NA,NA,NA,NA,NA,289527.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,289527.15,102.91,1.37
"80","Iran",NA,NA,NA,NA,310645.33,NA,NA,NA,NA,NA,365908.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,365908.35,NA,5.58
"81","Iraq",NA,NA,NA,NA,NA,NA,NA,60379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,60379,NA,2.82
"82","Ireland",32944.33,33674.01,33494.93,33716.18,34838.15,35852.67,37469.15,38805.24,40708.85,42440.08,45249,47607.42,46081.98,45683.97,46166.93,48155.54,47603.94,47665.13,47366.25,42179.54,41747.93,38052.22,38209.59,37235.3,36785.33,38545.33,40029.84,38910.19,38803.39,2018,38803.39,17.78,8.05
"83","Israel",NA,NA,NA,NA,NA,NA,52232.3,NA,NA,NA,61067.82,NA,NA,62513.59,62438.66,62711.88,63741.57,66567.6,66048.15,63225.75,65088.77,67138.41,72410.99,66290.47,64285.91,66100.38,65191.77,65055.35,64804.64,2018,64804.64,NA,7.73
"84","Italy",438008.8,437538.6,437829.8,430179.96,424581.72,448332.91,442277.41,448044.94,460049.2,464548.48,468442.09,468642.86,476251.24,494183.29,499619.39,500005.68,495124.2,487693.31,476229.97,422624.19,433688.02,422039.48,401554.71,367568.71,347860.8,360088.18,356556.2,351473.93,348085.03,2018,348085.03,-20.53,5.74
"85","Jamaica",NA,NA,NA,NA,8561.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11204.47,9854.93,10655.98,7916.63,7283.62,NA,7383.89,NA,NA,NA,NA,NA,NA,2012,7383.89,NA,2.6
"86","Japan",1158391.31,1170065.73,1179740.1,1172647.31,1227566.84,1239928.16,1251867.57,1245112.03,1205416.32,1242015.31,1264844.26,1250211.05,1279452.96,1287642.18,1282872.08,1290056.28,1266828.61,1302524.28,1231909.52,1162647.87,1214068.56,1264155.13,1305432.85,1314703,1263049.94,1222781.31,1203167.02,1187661.45,1135688,2018,1135688,-1.96,8.93
"87","Jordan",NA,NA,NA,NA,13389.43,NA,NA,NA,NA,NA,16308.31,NA,NA,NA,NA,NA,23136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,23136,NA,3.86
"88","Kazakhstan",281213.95,271741.01,246741.37,219390.01,185835.33,178207.46,163543.77,155572.21,150541.2,124952.45,148756.16,142923.9,160804.18,178774.59,188475.9,202326.2,221649.32,227961.08,229096.3,224145.63,250896.96,240651.23,246750.44,254547.45,278775.59,288578.12,288421.37,307926.54,319647.41,2018,319647.41,13.67,17.45
"89","Kenya",NA,NA,NA,NA,5511.96,7056.88,NA,NA,NA,NA,7927.57,NA,NA,NA,NA,9281.16,NA,NA,NA,NA,13888.3,NA,NA,NA,NA,NA,NA,NA,NA,2010,13888.3,NA,0.33
"90","Kiribati",NA,NA,NA,NA,18.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.66,31.23,62.78,67.72,63.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,63.78,NA,0.65
"91","Kuwait",NA,NA,NA,NA,29524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83921.36,NA,NA,2016,83921.36,NA,21.21
"92","Kyrgyzstan",20531.57,17598.99,14601.29,11719.26,8668.83,5556.76,5738.89,6543,5519.55,5052.22,4957.14,4728.8,4944.52,5094.63,5319.37,5392.16,5527.55,6504.54,7357.65,6934.51,6363.38,NA,NA,NA,NA,NA,NA,NA,NA,2010,6363.38,-69.01,1.17
"93","Laos",414.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,1052.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1052.19,153.59,0.2
"94","Latvia",19504.13,17783.12,14079.83,11818.64,10296.75,9090.31,9170.27,8645.95,8280.69,7695.97,7064.72,7474.39,7502.61,7722.59,7727.76,7806.68,8305.73,8631.99,8192.82,7451.92,8548.88,7805.4,7515.21,7381.99,7182.63,7272.71,7220.75,7222.78,7859.29,2018,7859.29,-59.7,4.08
"95","Lebanon",NA,NA,NA,NA,13602.76,NA,NA,NA,NA,NA,15570.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20656.42,22294.28,23096.54,NA,NA,NA,NA,NA,2013,23096.54,NA,3.91
"96","Lesotho",NA,NA,NA,NA,635.98,NA,NA,NA,NA,NA,805.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,805.03,NA,0.4
"97","Liberia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,3571,NA,1.25
"98","Liechtenstein",198.97,206.33,206.95,215.03,201.11,204.2,205.96,218.37,229.23,226.56,216.85,214.66,220.01,229.35,229.38,228.97,231.1,200.77,219.51,205.35,190.81,176.78,185.31,192.54,161.24,159.71,149.88,156.28,143.75,2018,143.75,-27.75,3.79
"99","Lithuania",35771.82,37851.59,21200.58,16348.05,15788.27,15084.48,15757.63,15182.21,16039.7,13476.96,11873.92,12621.37,12690.01,12679.87,13272.34,14091.08,14408.01,15797.79,15179.16,13022.77,13926.74,14271.08,14330.83,13340.27,13087.47,13297.14,13327.51,13545.85,13669.49,2018,13669.49,-61.79,4.88
"100","Luxembourg",11847.64,12465.79,12232.16,12372.81,11563.93,9170.3,9219.91,8573.11,7695.07,8147.98,8731.57,9226.37,10003.05,10476.02,11844.31,12105.45,11936.28,11333.58,11195.25,10647.82,11219.29,11114.55,10851.4,10303.87,9825.22,9333.17,9080.25,9250.4,9568.52,2018,9568.52,-19.24,15.84
"101","Madagascar",NA,NA,NA,NA,1146.17,NA,NA,NA,NA,NA,1747.4,NA,NA,NA,NA,1919.1,1999.3,2098.7,2250.3,2076.4,2057.9,NA,NA,NA,NA,NA,NA,NA,NA,2010,2057.9,NA,0.1
"102","Malawi",669.25,NA,NA,NA,719.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,719.26,7.47,0.07
"103","Malaysia",52140.59,62312.48,67718.14,73579.68,82935.43,83210.92,97941.99,113400.44,103147.98,113773.33,136987.07,146115.82,152580.96,165746.22,179143.38,192573.72,192109.54,205552.49,209530.04,201065.19,217972.69,205768.03,NA,NA,NA,NA,NA,NA,NA,2011,205768.03,294.64,7.18
"104","Maldives",NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1236.97,1305.99,1400.01,1453.55,1476.89,NA,NA,NA,2015,1476.89,NA,3.25
"105","Mali",NA,NA,NA,NA,NA,954.61,NA,NA,NA,NA,1562.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,2743.67,NA,NA,NA,NA,NA,NA,NA,NA,2010,2743.67,NA,0.18
"106","Malta",2408.46,2255.39,2314.9,2891.13,2669.72,2460.27,2578.45,2586.19,2545.13,2627.59,2545.52,2665.17,2707.48,2979.28,2846.41,2654.26,2665.94,2735.72,2747.13,2532.57,2581.76,2578.07,2762.07,2437.84,2442.4,1735.3,1399.49,1553,1531.58,2018,1531.58,-36.41,3.49
"107","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.92,NA,NA,NA,NA,97.66,NA,NA,NA,NA,124.94,NA,NA,NA,NA,NA,NA,NA,NA,2010,124.94,NA,2.22
"108","Mauritania",NA,NA,NA,NA,NA,1046.67,NA,NA,NA,NA,1137.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1137.07,NA,0.43
"109","Mauritius",NA,NA,NA,NA,NA,2739.8,NA,NA,NA,NA,2289.81,2476.96,2494.53,2661.33,2659.52,2820.25,3482.62,NA,NA,NA,NA,NA,NA,4250.19,NA,NA,NA,NA,NA,2013,4250.19,NA,3.39
"110","Mexico",307419.22,318877.87,321246.52,321858.04,346246.67,333784.06,348140.71,365145.08,386249.84,377722.1,407271.27,400547.89,395768.56,403331.35,432780.07,438673.96,454055.33,473765.52,494159.95,475352.59,489865.36,502147.36,504782.35,468240.1,NA,NA,NA,NA,NA,2013,468240.1,52.31,3.94
"111","Micronesia (Federated States of)",NA,NA,NA,NA,235.97,NA,NA,NA,NA,NA,151.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,151.99,NA,1.42
"112","Monaco",98.23,98.91,104.51,103.6,104.41,101.2,104.71,103.19,102.07,102.77,100.31,100.01,99.74,97.05,91.88,90.31,84.01,82.77,82.35,79.16,77.69,75.01,78.05,78.81,73.89,74.36,74.66,73.05,74.76,2018,74.76,-23.9,1.93
"113","Mongolia",13650,12141,10529,9913.2,8665,8141,8978.7,9310.8,9061.1,NA,NA,NA,NA,NA,NA,NA,9956.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,9956.25,-27.06,3.89
"114","Montenegro",2491.41,2585.54,2143.69,1691.1,1328.8,504.31,2028.9,1920.68,2335.61,2397.97,2520.74,2140.19,2616.95,2508.47,2510.68,2347.24,2542.47,2483.42,3019.8,2057.47,2836.85,2685.7,NA,NA,NA,NA,NA,NA,NA,2011,2685.7,7.8,4.3
"115","Morocco",NA,NA,NA,NA,28364,NA,NA,NA,NA,NA,33550.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,55823.9,NA,62103.4,NA,NA,NA,NA,NA,NA,2012,62103.4,NA,1.87
"116","Mozambique",1083.12,NA,NA,NA,1585.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,1585.59,46.39,0.11
"117","Myanmar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7907.24,7516.74,7789.82,8406.63,8935.41,8264.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,8264.59,NA,0.17
"118","Namibia",NA,NA,NA,NA,1826.63,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2018,NA,1.12
"119","Nauru",NA,NA,NA,NA,28.32,NA,NA,NA,NA,NA,13.29,NA,NA,35.08,NA,NA,NA,17.24,NA,NA,37.58,NA,NA,NA,NA,NA,NA,NA,NA,2010,37.58,NA,3.76
"120","Nepal",NA,NA,NA,NA,1630,NA,NA,NA,NA,NA,2894.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2894.24,NA,0.12
"121","Netherlands",162385.11,170796.38,170630.24,170817.55,171401.37,172966.17,182148.29,175019.63,176136.87,170727.35,171887.44,176798.51,176113.05,179565,181381.77,177459.01,172686.52,172587.18,175481.51,170167.74,182117.94,169065.73,165827.03,165717.88,158768.01,166366.66,166282.09,164444.77,160170.15,2018,160170.15,-1.36,9.39
"122","New Zealand",25446.29,26110.38,28105.07,27699.46,27880.33,28001.81,29295.08,31289.34,29882.78,31472.27,32281.35,34457.44,34638.1,36351.9,35940.11,37571.04,37466.33,36559.88,37592.32,34762.43,34957.78,34249.57,36000.43,35240.94,35457.8,35839.19,34267.62,36153.33,35080.34,2018,35080.34,37.86,7.4
"123","Nicaragua",NA,NA,NA,NA,2728.38,NA,NA,NA,NA,NA,3840.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,3840.19,NA,0.76
"124","Niger",598.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1905,NA,NA,NA,NA,NA,NA,NA,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1800,200.77,0.12
"125","Nigeria",NA,NA,NA,NA,114815.82,NA,NA,NA,NA,NA,116825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,116825,NA,0.96
"126","Niue",NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.82,NA,NA,NA,NA,5.54,6.7,8.1,4.84,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,5.05,NA,3.12
"127","North Macedonia",10287.59,9576.21,8935.91,9359.09,9041.89,9207.93,8891.52,9632.4,10338.45,9964.61,9571.65,9667.51,10027.43,9368.53,9114.57,9908.92,8977.05,9495.79,9565.18,8929.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,8929.47,-13.2,4.32
"128","Norway",35321.33,33816.46,34734.75,36224.2,38088.99,38707.5,41830.31,41969.98,42220.23,42974.02,42518.55,43866.41,42985.66,44305.68,44622.58,43923.16,44484.78,46231.29,45377.7,43890.03,46231.65,45513.36,45038.31,44982.4,44916.61,45350.5,44472.73,43562.54,43817.66,2018,43817.66,24.05,8.21
"129","Oman",NA,NA,NA,NA,11184.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,11184.36,NA,5.21
"130","Palau",NA,NA,NA,NA,85.59,NA,NA,NA,NA,0.01,149.99,NA,NA,NA,NA,331.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,331.84,NA,16.77
"131","Panama",NA,NA,NA,NA,4314.91,NA,NA,NA,NA,NA,5171.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,5171.99,NA,1.71
"132","Papua New Guinea",NA,NA,NA,NA,1140.57,NA,NA,NA,NA,NA,4400.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,4400.45,NA,0.75
"133","Paraguay",2270.22,NA,NA,NA,3810.57,NA,NA,NA,NA,NA,3646.85,NA,NA,NA,NA,4148.82,NA,NA,NA,NA,NA,5380.22,5664.54,NA,NA,NA,NA,NA,NA,2012,5664.54,149.52,0.88
"134","Peru",NA,NA,NA,NA,30656.73,NA,NA,NA,NA,NA,32065,NA,NA,NA,NA,NA,NA,NA,NA,NA,44943.83,NA,48210,NA,NA,NA,NA,NA,NA,2012,48210,NA,1.63
"135","Philippines",NA,NA,NA,NA,57932,NA,NA,NA,NA,NA,82702.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,82702.84,NA,1.06
